Patient,AML_Bullinger,AML_HSCR,AML_LI24,AML_LSCR,AML_Marcucci,AML_Metzeler,AML_LSC17
GSM159127,0,1,1,1,0,1,1
GSM159128,0,1,1,0,0,0,0
GSM159129,0,0,1,0,0,0,1
GSM159130,0,1,1,1,0,0,1
GSM159131,0,0,0,0,0,0,0
GSM159132,0,1,0,0,1,0,0
GSM159133,0,0,1,0,0,0,0
GSM159134,0,0,0,0,1,0,1
GSM159135,0,0,0,1,0,0,0
GSM159136,0,1,1,1,0,0,0
GSM159138,0,0,1,0,1,0,0
GSM159139,0,1,0,0,0,0,1
GSM159140,0,1,1,0,0,0,0
GSM159141,0,0,1,0,0,0,0
GSM159142,0,0,0,0,0,0,1
GSM159143,0,0,0,1,1,0,0
GSM159144,1,1,0,0,1,0,0
GSM159145,0,1,1,1,0,0,1
GSM159147,0,0,0,1,0,0,0
GSM159148,0,1,1,1,0,1,1
GSM159149,0,0,0,0,1,0,0
GSM159150,0,0,0,0,0,0,0
GSM159151,0,0,0,0,0,0,0
GSM159152,0,0,1,0,0,0,1
GSM159153,0,0,0,0,1,0,1
GSM159154,0,1,0,1,0,0,1
GSM159155,0,1,0,0,1,0,1
GSM159156,0,1,1,1,1,1,1
GSM159157,0,1,1,0,0,0,1
GSM159158,0,1,1,1,1,0,1
GSM159159,0,1,0,1,0,0,0
GSM159160,0,0,1,1,1,0,1
GSM159161,0,1,1,1,1,0,1
GSM159162,0,1,1,1,1,0,1
GSM159163,0,1,1,1,1,1,1
GSM159164,0,0,1,0,0,0,1
GSM159165,1,0,0,0,1,0,0
GSM159166,0,1,0,1,1,0,0
GSM159167,1,0,0,0,1,0,0
GSM159168,0,1,0,0,1,0,1
GSM159169,0,1,1,1,1,0,1
GSM159170,1,0,0,0,1,0,0
GSM159171,0,0,0,0,0,0,0
GSM768680,0,1,1,0,0,0,1
GSM768681,0,1,0,0,1,0,0
GSM768682,0,1,1,0,0,0,1
GSM768683,0,1,1,1,0,1,1
GSM768684,0,1,1,1,1,0,0
GSM768685,1,0,0,0,1,0,0
GSM768686,0,0,1,0,1,0,0
GSM768687,0,0,0,0,1,0,0
GSM768688,0,1,1,1,1,1,1
GSM768689,0,1,1,1,0,0,1
GSM768690,0,0,0,0,0,0,0
GSM768691,0,0,0,1,1,0,1
GSM768692,0,1,1,1,0,1,1
GSM768693,0,0,1,0,0,0,0
GSM768694,0,1,1,0,0,0,0
GSM768695,0,0,1,1,0,0,1
GSM768696,0,1,0,0,0,0,1
GSM768697,0,0,1,1,0,0,1
GSM768698,1,0,0,0,1,0,0
GSM768699,0,1,1,1,0,0,1
GSM768700,0,0,0,0,1,0,0
GSM768701,0,0,0,1,0,1,1
GSM768702,0,0,0,0,1,0,0
GSM768703,0,1,1,1,1,1,1
GSM768704,0,1,1,0,1,0,1
GSM768705,0,0,0,1,1,0,1
GSM768706,0,0,0,0,1,0,0
GSM768707,0,1,1,1,1,0,1
GSM768708,0,1,1,1,0,0,1
GSM768709,0,1,0,1,1,0,1
GSM768710,0,1,1,1,1,1,1
GSM768711,0,1,1,1,1,0,1
GSM768712,1,0,1,0,1,0,0
GSM768713,0,1,0,1,1,0,1
GSM768714,0,1,0,0,0,0,1
GSM768715,0,1,0,1,1,0,1
GSM768716,0,0,0,0,1,0,0
GSM768717,0,0,0,0,0,0,0
GSM768718,0,0,1,0,0,0,0
GSM768719,0,0,0,1,1,0,1
GSM768720,0,0,1,0,1,0,0
GSM768721,0,0,1,0,0,0,0
GSM768722,1,1,1,1,1,0,1
GSM768723,0,1,0,0,1,0,1
GSM768724,0,1,1,1,0,0,1
GSM768727,0,1,1,1,1,1,1
GSM768734,0,1,1,1,0,0,1
GSM768735,0,0,1,1,1,0,1
GSM768738,0,0,0,0,0,0,0
GSM768739,0,0,1,0,1,0,0
GSM768740,0,1,1,1,0,1,1
GSM768742,0,1,1,0,0,0,0
GSM768743,0,0,0,0,0,0,0
GSM768744,0,0,1,1,1,1,1
GSM768745,0,0,0,1,1,0,1
GSM768746,0,0,0,0,0,0,0
GSM768747,0,1,1,1,0,0,0
GSM768748,1,1,0,0,1,0,1
GSM768749,0,0,1,0,0,0,0
GSM768751,0,1,0,1,0,0,1
GSM768752,0,1,0,0,0,0,1
GSM768753,0,1,0,1,1,1,1
GSM768754,0,0,1,0,1,0,0
