,Marcucci,LSC17,Ligene,Tobias,LSCR,Metzeler86,HSCR,Bullinger,, 
GSM159032,0,1,1,1,1,1,1,0,,
GSM159033,1,1,1,0,1,1,1,0,,
GSM159034,0,0,1,1,1,1,1,0,,
GSM159035,1,1,1,1,1,1,1,1,,
GSM159036,1,0,0,0,0,1,0,0,,
GSM159037,0,1,1,1,1,1,1,0,,
GSM159038,1,0,0,1,0,0,0,0,,
GSM159039,1,0,0,1,0,1,0,0,,
GSM159040,0,1,1,1,1,1,0,0,,
GSM159041,1,0,0,0,1,1,0,0,,
GSM159042,0,0,0,1,0,1,0,0,,
GSM159043,0,0,0,0,0,1,0,0,,
GSM159044,0,1,1,1,1,1,1,0,,
GSM159045,1,0,0,0,0,0,0,0,,
GSM159046,1,0,0,0,0,0,0,0,,
GSM159047,1,1,1,1,1,1,1,0,,
GSM159048,0,0,0,1,0,1,0,0,,
GSM159049,1,0,0,1,1,1,1,0,,
GSM159050,0,1,0,1,0,1,1,0,,
GSM159051,1,1,1,1,1,1,1,0,,
GSM159052,0,1,0,1,1,1,0,1,,
GSM159053,0,1,1,1,1,1,1,0,,
GSM159054,0,1,1,1,1,1,1,1,,
GSM159055,0,0,1,1,0,1,0,0,,
GSM159056,0,0,0,1,1,1,1,0,,
GSM159057,1,1,1,1,0,1,0,0,,
GSM159058,1,0,0,1,0,0,0,0,,
GSM159059,0,1,1,1,0,1,0,0,,
GSM159060,1,1,1,1,1,1,1,1,,
GSM159061,0,1,1,1,1,1,1,1,,
GSM159062,0,0,0,1,0,1,0,0,,
GSM159063,0,0,1,0,1,1,0,0,,
GSM159064,1,1,0,1,1,1,1,1,,
GSM159065,1,0,1,1,1,1,1,0,,
GSM159066,1,0,0,0,0,1,0,0,,
GSM159067,1,0,0,1,0,0,0,0,,
GSM159068,0,0,0,1,1,1,1,0,,
GSM159069,0,0,1,1,0,1,0,0,,
GSM159070,1,0,0,1,0,0,0,0,,
GSM159071,0,1,1,1,1,1,1,0,,
GSM159072,0,1,1,1,1,1,1,0,,
GSM159073,1,0,0,1,0,0,0,0,,
GSM159074,0,0,1,1,1,1,1,0,,
GSM159075,1,1,0,0,1,1,1,0,,
GSM159076,1,1,1,1,1,1,1,0,,
GSM159077,1,0,0,0,0,0,0,0,,
GSM159078,1,1,0,1,1,1,1,1,,
GSM159079,0,0,0,0,0,0,0,0,,
GSM159080,0,1,1,1,1,1,1,0,,
GSM159081,0,1,1,1,0,1,1,0,,
GSM159082,1,1,1,1,0,1,1,0,,
GSM159083,0,1,1,1,0,1,0,0,,
GSM159084,0,1,0,1,0,1,0,0,,
GSM159085,1,0,0,1,0,0,0,0,,
GSM159086,0,0,1,0,0,1,1,0,,
GSM159087,1,1,1,1,1,1,1,1,,
GSM159088,0,0,0,0,0,1,0,0,,
GSM159089,1,0,0,0,0,1,0,0,,
GSM159090,0,1,1,1,1,1,1,0,,
GSM159091,1,1,1,1,1,1,1,1,,
GSM159092,1,1,1,1,1,1,1,0,,
GSM159093,0,0,1,1,0,1,1,0,,
GSM159094,1,1,0,1,1,1,1,1,,
GSM159095,1,1,1,0,1,1,0,0,,
GSM159096,1,1,0,1,1,1,0,1,,
GSM159097,0,1,1,1,1,1,1,0,,
GSM159098,0,1,1,1,1,1,1,1,,
GSM159099,0,0,0,0,0,0,0,0,,
GSM159100,1,0,0,0,0,0,0,0,,
GSM159101,1,0,0,1,0,0,1,0,,
GSM159102,0,0,1,1,0,1,0,0,,
GSM159103,0,0,0,1,0,1,0,0,,
GSM159104,0,1,0,1,1,1,1,0,,
GSM159105,0,1,1,1,0,1,0,0,,
GSM159106,1,0,0,1,0,0,0,0,,
GSM159107,1,1,1,1,1,1,1,0,,
GSM159108,0,0,1,1,0,1,0,0,,
