"","Bullinger","HSCR","Ligene","LSC17","LSCR","Marcucci","Metzeler86"
"GSM158962","0","0","0","0","0","0","1"
"GSM158963","0","0","0","0","0","0","1"
"GSM158964","1","1","1","1","1","1","1"
"GSM158965","0","1","1","0","0","1","1"
"GSM158966","1","1","0","0","0","0","1"
"GSM158967","0","0","0","0","0","1","0"
"GSM158968","0","0","0","0","0","0","1"
"GSM158969","0","1","1","1","0","0","1"
"GSM158970","0","0","1","1","0","0","1"
"GSM158971","0","0","1","0","1","1","1"
"GSM158972","1","1","1","1","1","1","1"
"GSM158973","1","0","0","0","1","0","1"
"GSM158974","0","1","1","1","1","1","1"
"GSM158975","1","1","1","1","0","0","1"
"GSM158976","0","1","1","1","1","1","1"
"GSM158977","0","0","0","0","0","0","0"
"GSM158978","1","1","1","1","1","1","1"
"GSM158979","1","0","0","0","0","0","1"
"GSM158980","0","1","0","1","0","0","1"
"GSM158981","0","1","1","1","1","1","1"
"GSM158982","0","0","0","0","0","0","1"
"GSM158983","0","0","0","0","0","0","1"
"GSM158984","1","1","1","1","1","1","1"
"GSM158985","1","1","1","1","1","1","1"
"GSM158986","0","1","0","1","1","1","1"
"GSM158987","0","1","1","1","1","1","1"
"GSM158988","0","1","1","0","0","0","1"
"GSM158990","0","0","0","0","0","1","0"
"GSM158991","1","1","1","1","0","0","1"
"GSM158992","0","1","1","1","1","1","1"
"GSM158993","0","0","0","1","0","0","1"
"GSM158994","1","1","1","1","1","0","1"
"GSM158995","0","1","1","0","0","0","0"
"GSM158996","0","1","0","0","0","1","0"
"GSM158997","0","0","0","0","0","0","1"
"GSM158998","0","1","1","1","1","0","1"
"GSM158999","0","0","1","1","0","0","1"
"GSM159000","1","1","1","1","1","0","1"
"GSM159001","0","1","1","1","1","1","1"
"GSM159002","0","1","0","0","0","1","0"
"GSM159003","0","0","0","0","0","1","0"
"GSM159004","0","1","0","1","1","1","1"
"GSM159005","0","1","0","1","0","0","1"
"GSM159006","0","0","1","1","0","0","1"
"GSM159007","1","1","0","1","1","1","1"
"GSM159008","0","1","0","1","1","1","1"
"GSM159009","0","1","0","1","1","1","1"
"GSM159010","0","0","1","0","0","0","0"
"GSM159011","1","0","0","0","1","0","1"
"GSM159012","0","1","1","1","1","0","1"
"GSM159013","0","0","0","0","0","1","1"
"GSM159014","1","1","1","0","1","1","1"
"GSM159015","1","1","1","0","1","0","1"
"GSM159016","0","0","0","0","0","1","1"
"GSM159017","0","0","0","1","1","1","1"
"GSM159018","0","1","0","1","1","0","1"
"GSM159019","0","0","1","1","1","1","1"
"GSM159020","1","0","0","0","0","0","1"
"GSM159021","1","1","1","1","1","0","1"
"GSM159022","0","0","0","0","0","1","0"
"GSM159023","0","0","0","0","0","0","1"
"GSM159024","1","0","0","0","0","0","0"
"GSM159025","0","0","0","0","0","1","1"
"GSM159026","0","1","1","1","0","0","1"
"GSM159027","0","0","0","0","0","1","0"
"GSM159028","1","0","1","1","1","0","1"
"GSM159029","0","0","1","1","1","0","1"
"GSM159030","0","1","1","1","1","1","1"
"GSM159031","0","0","1","1","0","0","1"
"GSM159032","1","1","1","1","1","0","1"
"GSM159033","0","1","1","1","1","1","1"
"GSM159034","0","1","1","0","1","0","1"
"GSM159035","0","1","1","1","1","1","1"
"GSM159036","0","0","0","0","0","1","1"
"GSM159037","1","1","1","1","1","0","1"
"GSM159038","0","0","0","0","0","1","0"
"GSM159039","0","0","0","0","0","1","1"
"GSM159040","1","0","1","1","1","0","1"
"GSM159041","0","0","0","0","1","1","1"
"GSM159042","0","0","0","0","0","0","1"
"GSM159043","0","0","0","0","0","0","1"
"GSM159044","1","1","1","1","1","0","1"
"GSM159045","0","0","0","0","0","1","0"
"GSM159046","0","0","0","0","0","1","0"
"GSM159047","1","1","1","1","1","1","1"
"GSM159048","1","0","0","0","0","0","1"
"GSM159049","1","1","0","0","1","1","1"
"GSM159050","0","1","0","1","0","0","1"
"GSM159051","0","1","1","1","1","1","1"
"GSM159052","1","0","0","1","1","0","1"
"GSM159053","1","1","1","1","1","0","1"
"GSM159054","1","1","1","1","1","0","1"
"GSM159055","1","0","1","0","0","0","1"
"GSM159056","1","1","0","0","1","0","1"
"GSM159057","1","0","1","1","0","1","1"
"GSM159058","0","0","0","0","0","1","0"
"GSM159059","0","0","1","1","0","0","1"
"GSM159060","0","1","1","1","1","1","1"
"GSM159061","0","1","1","1","1","0","1"
"GSM159062","1","0","0","0","0","0","1"
"GSM159063","1","0","1","0","1","0","1"
"GSM159064","0","1","0","1","1","1","1"
"GSM159065","1","1","1","0","1","1","1"
"GSM159066","0","0","0","0","0","1","1"
"GSM159067","0","0","0","0","0","1","0"
"GSM159068","1","1","0","0","1","0","1"
"GSM159069","1","0","1","0","0","0","1"
"GSM159070","0","0","0","0","0","1","0"
"GSM159071","1","1","1","1","1","0","1"
"GSM159072","1","1","1","1","1","0","1"
"GSM159073","0","0","0","0","0","1","0"
"GSM159074","1","1","1","0","1","0","1"
"GSM159075","0","1","0","1","1","1","1"
"GSM159076","1","1","1","1","1","1","1"
"GSM159077","0","0","0","0","0","1","0"
"GSM159078","0","1","0","1","1","1","1"
"GSM159079","0","0","0","0","0","0","0"
"GSM159080","0","1","1","1","1","0","1"
"GSM159081","0","1","1","1","0","0","1"
"GSM159082","0","1","1","1","0","1","1"
"GSM159083","1","0","1","1","0","0","1"
"GSM159084","0","0","0","1","0","0","1"
"GSM159085","0","0","0","0","0","1","0"
"GSM159086","0","1","1","0","0","0","1"
"GSM159087","0","1","1","1","1","1","1"
"GSM159088","1","0","0","0","0","0","1"
"GSM159089","0","0","0","0","0","1","1"
"GSM159090","1","1","1","1","1","0","1"
"GSM159091","0","1","1","1","1","1","1"
"GSM159092","1","1","1","1","1","1","1"
"GSM159093","0","1","1","0","0","0","1"
"GSM159094","0","1","0","1","1","1","1"
"GSM159095","0","0","1","1","1","1","1"
"GSM159096","0","0","0","1","1","1","1"
"GSM159097","0","1","1","1","1","0","1"
"GSM159098","0","1","1","1","1","0","1"
"GSM159099","1","0","0","0","0","0","0"
"GSM159100","0","0","0","0","0","1","0"
"GSM159101","0","1","0","0","0","1","0"
"GSM159102","0","0","1","0","0","0","1"
"GSM159103","1","0","0","0","0","0","1"
"GSM159104","1","1","0","1","1","0","1"
"GSM159105","1","0","1","1","0","0","1"
"GSM159106","0","0","0","0","0","1","0"
"GSM159107","1","1","1","1","1","1","1"
"GSM159108","1","0","1","0","0","0","1"
"GSM159109","0","1","1","1","1","0","1"
"GSM159110","0","0","0","0","0","0","1"
"GSM159111","1","1","1","1","1","0","1"
"GSM159112","0","0","0","0","0","0","1"
"GSM159113","0","0","0","0","0","1","0"
"GSM159115","0","1","1","1","1","1","1"
"GSM159116","1","0","1","1","0","1","1"
"GSM159117","0","0","0","0","1","0","1"
"GSM159118","0","0","1","0","0","0","1"
"GSM159119","0","1","0","1","1","1","1"
"GSM159120","0","1","0","1","1","0","1"
"GSM159121","0","0","0","0","0","0","0"
"GSM159122","0","1","1","1","1","1","1"
"GSM159123","0","1","0","1","1","0","1"
"GSM159124","0","0","1","1","0","0","1"
"GSM159125","0","0","0","0","0","1","1"
"GSM159126","1","0","0","0","0","0","1"
"GSM159127","0","0","0","0","0","1","0"
"GSM159128","0","0","0","1","1","1","1"
"GSM159129","0","1","0","0","1","1","1"
"GSM159130","0","0","0","0","0","1","1"
"GSM159131","0","1","1","1","1","1","1"
"GSM159132","0","0","1","1","1","0","1"
"GSM159133","1","1","0","1","1","1","1"
"GSM159134","0","1","1","0","1","0","1"
"GSM159135","0","1","1","1","0","1","1"
"GSM159136","0","0","0","1","0","1","1"
"GSM159138","0","1","0","1","1","0","1"
"GSM159139","1","0","1","0","1","1","1"
"GSM159140","0","0","0","1","1","1","1"
"GSM159141","0","1","0","1","1","1","1"
"GSM159142","0","1","1","0","1","1","1"
"GSM159143","0","1","1","1","0","0","1"
"GSM159144","1","0","1","1","1","0","1"
"GSM159145","0","0","0","0","0","1","1"
"GSM159147","0","1","1","1","0","1","1"
"GSM159148","0","0","0","0","0","1","0"
"GSM159149","0","1","1","1","1","0","1"
"GSM159150","0","1","1","1","1","1","1"
"GSM159151","0","1","1","1","1","1","1"
