,Marcucci,LSC17,Ligene,Tobias,LSCR,Metzeler86,HSCR,Bullinger
GSM159058,0,1,1,1,1,1,1,1
GSM159059,1,0,0,1,1,0,1,1
GSM159060,0,0,0,1,0,0,0,1
GSM159061,1,0,0,1,0,0,0,1
GSM159062,1,1,1,1,1,0,1,0
GSM159063,1,1,0,0,0,0,1,0
GSM159064,0,0,1,1,0,0,0,1
GSM159065,0,1,0,1,0,0,0,0
GSM159066,0,1,1,0,1,0,1,1
GSM159067,0,1,1,1,1,1,1,1
GSM159068,1,1,1,1,0,0,0,0
GSM159069,1,1,0,1,1,0,1,0
GSM159070,0,1,1,1,1,1,1,1
GSM159071,1,0,0,1,0,0,0,0
GSM159072,1,0,0,1,0,0,0,0
GSM159073,0,1,1,1,1,1,1,1
GSM159074,1,1,0,1,0,0,0,0
GSM159075,0,0,1,0,0,0,0,1
GSM159076,0,0,0,1,0,0,0,0
GSM159077,0,1,1,0,1,1,1,1
GSM159078,0,0,1,1,0,0,0,1
GSM159079,1,1,1,0,1,1,1,1
GSM159080,1,0,0,1,0,0,0,1
GSM159081,1,0,0,1,1,0,0,1
GSM159082,0,0,0,1,1,0,0,1
GSM159083,1,0,0,1,1,0,1,0
GSM159084,1,0,1,1,1,0,1,1
GSM159085,0,1,1,1,1,1,1,1
GSM159086,1,1,0,0,1,0,0,1
GSM159087,0,0,0,1,0,0,0,1
GSM159088,1,1,1,0,1,0,1,0
GSM159089,0,1,1,0,1,0,1,1
GSM159090,1,0,0,1,0,0,0,0
GSM159091,0,0,0,1,0,0,0,1
GSM159092,0,0,0,1,0,0,0,0
GSM159093,1,1,0,1,1,0,0,1
GSM159094,0,0,1,1,0,0,0,1
GSM159095,0,0,0,0,0,0,1,1
GSM159096,0,0,1,1,0,0,1,1
GSM159097,1,0,0,1,0,0,0,1
GSM159098,1,0,0,1,0,0,0,1
GSM159099,1,1,1,0,1,1,1,0
GSM159100,0,1,1,0,1,1,1,1
GSM159101,0,1,1,1,1,1,0,1
GSM159102,1,1,0,1,1,0,1,1
GSM159103,1,1,1,1,1,0,1,0
GSM159104,1,0,1,1,0,0,0,0
GSM159105,1,0,0,1,1,0,1,0
GSM159106,0,1,1,1,1,1,1,1
GSM159107,0,0,0,1,0,0,0,0
GSM159108,1,1,0,1,1,0,1,0
GSM159109,1,0,0,1,0,0,0,1
GSM159110,1,1,1,1,1,0,1,1
GSM159111,1,0,0,1,0,0,0,0
GSM159112,1,1,1,1,1,0,1,1
GSM159113,0,1,1,1,1,1,1,1
GSM159115,0,0,0,0,0,0,0,1
GSM159116,0,0,0,0,1,0,1,0
GSM159117,1,1,1,1,0,0,1,1
GSM159118,1,1,0,1,1,0,1,1
GSM159119,0,0,1,1,0,0,0,1
GSM159120,1,0,1,0,0,0,0,1
GSM159121,1,1,1,1,1,1,1,1
GSM159122,0,0,0,1,0,0,0,1
GSM159123,1,0,1,1,0,0,0,1
GSM159124,1,0,0,1,1,0,1,1
GSM159125,0,1,1,1,1,0,1,1
GSM159126,1,1,1,1,1,0,1,0
GSM159127,0,1,1,0,1,1,1,1
GSM159128,0,0,1,1,0,0,1,1
GSM159129,0,1,1,1,0,0,0,1
GSM159130,0,1,1,1,1,0,1,1
GSM159131,0,0,0,1,0,0,0,1
GSM159132,1,0,0,1,0,0,1,1
GSM159133,0,0,1,1,0,0,0,0
GSM159134,1,1,0,1,0,0,0,1
GSM159135,0,0,0,1,1,0,0,1
GSM159136,0,0,1,1,1,0,1,1
GSM159138,1,0,1,1,0,0,0,1
GSM159139,0,1,0,1,0,0,1,0
GSM159140,0,0,1,1,0,0,1,1
GSM159141,0,0,1,1,0,0,0,1
GSM159142,0,1,0,1,0,0,0,1
GSM159143,1,0,0,1,1,0,0,1
GSM159144,1,0,0,1,0,0,1,0
GSM159145,0,1,1,1,1,0,1,1
GSM159147,0,0,0,1,1,0,0,1
GSM159148,0,1,1,1,1,1,1,1
GSM159149,1,0,0,1,0,0,0,1
GSM159150,0,0,0,1,0,0,0,1
GSM159151,0,0,0,1,0,0,0,1
GSM159152,0,1,1,1,0,0,0,1
GSM159153,1,1,0,1,0,0,0,0
GSM159154,0,1,0,0,1,0,1,1
GSM159155,1,1,0,0,0,0,1,0
GSM159156,1,1,1,0,1,1,1,1
GSM159157,0,1,1,1,0,0,1,1
GSM159158,1,1,1,1,1,0,1,1
GSM159159,0,0,0,0,1,0,1,0
GSM159160,1,1,1,1,1,0,0,1
GSM159161,1,1,1,1,1,0,1,0
GSM159162,1,1,1,1,1,0,1,1
GSM159163,1,1,1,0,1,1,1,1
GSM159164,0,1,1,1,0,0,0,1
GSM159165,1,0,0,1,0,0,0,0
GSM159166,1,0,0,1,1,0,1,1
GSM159167,1,0,0,1,0,0,0,0
GSM159168,1,1,0,1,0,0,1,0
GSM159169,1,1,1,1,1,0,1,0
GSM159170,1,0,0,1,0,0,0,0
GSM159171,0,0,0,1,0,0,0,1
GSM768680,0,1,1,1,0,0,1,0
GSM768681,1,0,0,1,0,0,1,1
GSM768682,0,1,1,0,0,0,1,1
GSM768683,0,1,1,0,1,1,1,1
GSM768684,1,0,1,1,1,0,1,0
GSM768685,1,0,0,1,0,0,0,0
GSM768686,1,0,1,1,0,0,0,1
GSM768687,1,0,0,1,0,0,0,1
GSM768688,1,1,1,0,1,1,1,0
GSM768689,0,1,1,1,1,0,1,0
GSM768690,0,0,0,1,0,0,0,1
GSM768691,1,1,0,1,1,0,0,1
GSM768692,0,1,1,1,1,1,1,1
GSM768693,0,0,1,1,0,0,0,1
GSM768694,0,0,1,1,0,0,1,1
GSM768695,0,1,1,1,1,0,0,0
GSM768696,0,1,0,0,0,0,1,0
GSM768697,0,1,1,0,1,0,0,1
GSM768698,1,0,0,1,0,0,0,0
GSM768699,0,1,1,1,1,0,1,0
GSM768700,1,0,0,1,0,0,0,0
GSM768701,0,1,0,1,1,1,0,1
GSM768702,1,0,0,1,0,0,0,0
GSM768703,1,1,1,0,1,1,1,1
GSM768704,1,1,1,1,0,0,1,1
GSM768705,1,1,0,1,1,0,0,1
GSM768706,1,0,0,1,0,0,0,1
GSM768707,1,1,1,0,1,0,1,1
GSM768708,0,1,1,0,1,0,1,1
GSM768709,1,1,0,1,1,0,1,1
GSM768710,1,1,1,0,1,1,1,1
GSM768711,1,1,1,1,1,0,1,1
GSM768712,1,0,1,1,0,0,0,0
GSM768713,1,1,0,1,1,0,1,0
GSM768714,0,1,0,1,0,0,1,0
GSM768715,1,1,0,0,1,0,1,0
GSM768716,1,0,0,1,0,0,0,0
GSM768717,0,0,0,1,0,0,0,1
GSM768718,0,0,1,1,0,0,0,1
GSM768719,1,1,0,1,1,0,0,1
GSM768720,1,0,1,1,0,0,0,0
GSM768721,0,0,1,1,0,0,0,0
GSM768722,1,1,1,1,1,0,1,0
GSM768723,1,1,0,1,0,0,1,0
GSM768724,0,1,1,0,1,0,1,1
GSM768727,1,1,1,1,1,1,1,0
GSM768734,0,1,1,0,1,0,1,0
GSM768735,1,1,1,1,1,0,0,0
GSM768738,0,0,0,1,0,0,0,1
GSM768739,1,0,1,1,0,0,0,1
GSM768740,0,1,1,1,1,1,1,1
GSM768742,0,0,1,1,0,0,1,1
GSM768743,0,0,0,1,0,0,0,1
GSM768744,1,1,1,1,1,1,0,1
GSM768745,1,1,0,1,1,0,0,1
GSM768746,0,0,0,1,0,0,0,0
GSM768747,0,0,1,1,1,0,1,0
GSM768748,1,1,0,0,0,0,1,0
GSM768749,0,0,1,1,0,0,0,1
GSM768751,0,1,0,1,1,0,1,1
GSM768752,0,1,0,1,0,0,1,1
GSM768753,1,1,0,1,1,1,1,1
GSM768754,1,0,1,1,0,0,0,0
