"","Bullinger","HSCR","Ligene","LSC17","LSCR","Marcucci","Metzeler86"
"GSM159120","1","1","2","1","1","2","1"
"GSM159121","1","2","2","2","2","2","2"
"GSM159122","1","1","1","1","1","1","1"
"GSM159123","2","1","2","1","1","2","1"
"GSM159124","1","2","1","1","2","2","1"
"GSM159125","2","2","2","2","2","1","1"
"GSM159126","1","2","2","2","2","2","1"
"GSM159127","2","2","2","2","2","1","2"
"GSM159128","2","2","2","1","1","1","1"
"GSM159129","2","1","2","2","1","1","1"
"GSM159130","2","2","2","2","2","1","1"
"GSM159131","2","1","1","1","1","1","1"
"GSM159132","2","2","1","1","1","2","1"
"GSM159133","2","1","2","1","1","1","1"
"GSM159134","1","1","1","2","1","2","1"
"GSM159135","2","1","1","1","2","1","1"
"GSM159136","2","2","2","1","2","1","1"
"GSM159138","2","1","2","1","1","2","1"
"GSM159139","1","2","1","2","1","1","1"
"GSM159140","2","2","2","1","1","1","1"
"GSM159141","2","1","2","1","1","1","1"
"GSM159142","1","1","1","2","1","1","1"
"GSM159143","1","1","1","1","2","2","1"
"GSM159144","1","2","1","1","1","2","1"
"GSM159145","2","2","2","2","2","1","1"
"GSM159147","1","1","1","1","2","1","1"
"GSM159148","2","2","2","2","2","1","2"
"GSM159149","1","1","1","1","1","2","1"
"GSM159150","2","1","1","1","1","1","1"
"GSM159151","2","1","1","1","1","1","1"
"GSM159152","1","1","2","2","1","1","1"
"GSM159153","1","1","1","2","1","2","1"
"GSM159154","1","2","1","2","2","1","1"
"GSM159155","1","2","1","2","1","2","1"
"GSM159156","1","2","2","2","2","2","2"
"GSM159157","2","2","2","2","1","1","1"
"GSM159158","2","2","2","2","2","2","1"
"GSM159159","1","2","1","1","2","1","1"
"GSM159160","2","1","2","2","2","2","1"
"GSM159161","1","2","2","2","2","2","1"
"GSM159162","2","2","2","2","2","2","1"
"GSM159163","1","2","2","2","2","2","2"
"GSM159164","2","1","2","2","1","1","1"
"GSM159165","1","1","1","1","1","2","1"
"GSM159166","1","2","1","1","2","2","1"
"GSM159167","1","1","1","1","1","2","1"
"GSM159168","1","2","1","2","1","2","1"
"GSM159169","1","2","2","2","2","2","1"
"GSM159170","1","1","1","1","1","2","1"
"GSM159171","2","1","1","1","1","1","1"
"GSM768680","2","2","2","2","1","1","1"
"GSM768681","1","2","1","1","1","2","1"
"GSM768682","2","2","2","2","1","1","1"
"GSM768683","2","2","2","2","2","1","2"
